transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.4511.1	MSTRG.4511	0.667268080587567	6.12862548391466e-14	X	-	-	7.28573413694353	0.0894052725204162	novel
MSTRG.23654.4	MSTRG.23654	-1.00440656429488	6.85129907260504e-14	-	X	-	5.72370898198036	0.0147922285639803	novel
MSTRG.18271.2	MSTRG.18271	-0.824091769583927	1.16660263069682e-13	-	-	-	6.23432919104781	0.598593653923104	novel
MSTRG.7407.6	MSTRG.7407	-0.61036846490057	1.64918011545016e-13	-	X	-	8.5871158032475	0.999998293443636	novel
MSTRG.31429.5	MSTRG.31429	-0.62945379293872	1.7337614699962e-13	X	-	-	8.22880977824765	0.236380702628384	novel
MSTRG.9614.6	MSTRG.9614	-3.0152209562669	2.06536645659431e-13	X	-	-	3.39949297862007	0.231681675498764	novel
MSTRG.8009.3	MSTRG.8009	-0.983724307827103	3.99391442671337e-13	X	X	-	7.39458754553826	0.00538709455431802	novel
MSTRG.7618.26	MSTRG.7618	-1.16271053279687	5.41755475624526e-13	-	X	-	6.09999276921418	0.0314260503759942	novel
MSTRG.5384.4	MSTRG.5384	1.07273390250777	7.00871664072713e-13	-	X	-	7.54853887344938	1.16704986074429e-06	novel
MSTRG.16488.17	MSTRG.16488	-0.803890470558084	8.0338931254597e-13	-	X	-	6.18992391142547	0.214552702191468	novel
MSTRG.3851.16	MSTRG.3851	-0.758105019788991	8.90280298509001e-13	X	X	-	6.83785549880234	0.998658143674751	novel
MSTRG.4475.6	MSTRG.4475	1.0422592258608	1.0056588850734e-12	X	-	-	7.67395611775118	0.00101627140934351	novel
MSTRG.28989.1	MSTRG.28989	-4.1568107529168	2.25338083994862e-12	X	-	-	3.38170152618818	0.00260540192187244	novel
MSTRG.1487.2	MSTRG.1487	-0.741300900854394	2.8840715527544e-12	X	X	-	6.75541974901252	0.999794015642873	novel
MSTRG.17191.1	MSTRG.17191	2.29374312043864	3.01779009737875e-12	-	-	-	3.66503793466137	0.931601379053841	novel
MSTRG.19790.2	MSTRG.19790	-0.751525833408933	4.8528030571357e-12	-	X	-	6.45822560206207	0.763579801567023	novel
MSTRG.4326.5	MSTRG.4326	1.06230235200817	4.99202985581255e-12	X	X	-	5.30799155294511	6.18228259706481e-05	novel
MSTRG.14290.1	MSTRG.14290	-0.604178752077529	6.0762964642673e-12	X	-	-	6.9467755839121	0.863047384222612	novel
MSTRG.23556.12	MSTRG.23556	-1.45923002967654	6.62565533305765e-12	-	-	-	5.81833451018933	0.999999999999002	novel
MSTRG.28532.5	MSTRG.28532	0.705831707420192	9.33446991234513e-12	-	X	-	7.30558084432608	0.588837262109931	novel
MSTRG.2373.1	MSTRG.2373	-2.23932732820957	9.97980990504764e-12	-	-	-	5.60533220857543	0.241477830808372	novel
MSTRG.7407.3	MSTRG.7407	-0.84262274881668	1.10907421112618e-11	-	X	-	6.47480038162776	0.999998238009568	novel
MSTRG.22128.5	MSTRG.22128	0.531657407592387	1.21039263377041e-11	X	X	-	7.5352791389464	0.017147881172585	novel
MSTRG.24151.1	MSTRG.24151	1.54833874331318	1.32496698959519e-11	X	-	-	4.23936736106228	0.0183944424224763	novel
MSTRG.27389.6	MSTRG.27389	-0.845871071249505	1.36640396491698e-11	X	X	-	6.49535670817921	0.625246285862454	novel
MSTRG.18982.2	MSTRG.18982	0.539509611931161	1.98598056357894e-11	-	X	-	7.43669421972493	0.694935324659548	novel
MSTRG.7454.1	MSTRG.7454	-2.67801767542296	1.99263605672207e-11	-	-	-	3.37432898748352	0.164110051854068	novel
MSTRG.28950.8	MSTRG.28950	-1.76014136291734	2.00179290719054e-11	X	X	-	4.66930157441338	0.984861381801883	novel
MSTRG.30413.2	MSTRG.30413	-1.56084360584896	2.07322654978562e-11	-	-	-	4.35009637281365	0.000200258580142379	novel
MSTRG.6112.7	MSTRG.6112	-0.847124551871521	2.43472649783507e-11	-	X	-	5.64676446632322	0.305965962127237	novel
MSTRG.6903.12	MSTRG.6903	-0.875236073769005	3.03668660923481e-11	-	X	-	5.87086252496016	0.167333729400067	novel
MSTRG.25937.2	MSTRG.25937	-1.26921787705225	3.27224669993743e-11	-	X	-	5.08174938019576	0.774408764030401	novel
MSTRG.2939.21	MSTRG.2939	0.718655331329247	3.34094549954323e-11	-	X	-	6.72831968715361	0.126483732708766	novel
MSTRG.27270.34	MSTRG.27270	0.946484337439519	3.74953066528098e-11	X	-	-	6.17625659186483	0.00590733002516469	novel
MSTRG.26458.2	MSTRG.26458	-0.860008103155436	3.98050894989951e-11	X	X	-	5.90329536055732	0.424613845786168	novel
MSTRG.22166.5	MSTRG.22166	1.28350533168161	4.67784963765182e-11	X	-	-	6.96465533614772	0.99999998709355	novel
MSTRG.27001.1	MSTRG.27001	-0.882440940422907	4.76265708323606e-11	X	X	-	6.56646216583932	0.95903671292278	novel
MSTRG.25871.5	MSTRG.25871	-1.11457447339111	7.8056593754993e-11	-	X	-	7.35870732187625	1	novel
MSTRG.8247.5	MSTRG.8247	-0.550782422406064	7.8056593754993e-11	X	X	-	8.15862794829536	0.219539032404669	novel
MSTRG.15807.6	MSTRG.15807	1.06530562161116	9.46634082071029e-11	X	-	-	5.33449135079824	0.909634987522655	novel
MSTRG.26593.7	MSTRG.26593	-0.823687006690453	9.51001547736548e-11	X	X	-	5.94613730620198	0.0270029973652774	novel
MSTRG.31067.33	MSTRG.31067	-0.842424553040301	1.0461693706789e-10	X	X	-	5.83720722354308	0.343466458175563	novel
MSTRG.25105.11	MSTRG.25105	-1.74315967204433	1.30267748123806e-10	-	X	-	7.31869729870041	0.406073183326353	novel
MSTRG.9337.28	MSTRG.9337	0.791824623874629	1.32531100218316e-10	X	X	-	6.97396028129955	0.999303910886577	novel
MSTRG.25471.1	MSTRG.25471	-1.04356534501427	1.36445871747948e-10	-	X	X	4.89088936262521	0.00105234550521294	novel
MSTRG.13991.2	MSTRG.13991	-1.26775996820248	1.40552402094696e-10	X	X	-	5.70774425481826	0.0238850116565127	novel
MSTRG.17763.9	MSTRG.17763	1.32477611257629	1.96090914376599e-10	-	X	-	4.37147346327961	0.596297976981539	novel
MSTRG.20541.1	MSTRG.20541	0.864698503327447	1.96720767317992e-10	-	X	X	5.42790218008981	0.830772858207299	novel
MSTRG.13074.7	MSTRG.13074	1.27387636139596	2.2575098588497e-10	-	-	-	5.15955076969106	0.699163406247307	novel
MSTRG.2053.5	MSTRG.2053	0.8671154172775	2.2891666984444e-10	-	X	-	6.23565781912493	0.769686495352383	novel
MSTRG.13074.6	MSTRG.13074	1.15765962674399	2.32487327491756e-10	-	-	-	5.39664130763224	0.890784739517313	novel
MSTRG.30525.1	MSTRG.30525	1.9250074349084	2.4146700011112e-10	X	-	-	3.73552692849701	0.0187071372680571	novel
MSTRG.2730.5	MSTRG.2730	0.910882020749683	2.56781615693838e-10	-	-	-	6.39059867018729	0.940214664864312	novel
MSTRG.16172.1	MSTRG.16172	0.514493670727445	2.80240902852036e-10	-	-	-	7.47148813472843	0.00239413136724947	novel
MSTRG.1016.2	MSTRG.1016	1.7286182099988	2.9108381245308e-10	X	X	-	5.44997566257659	0.914748788696426	novel
MSTRG.9337.30	MSTRG.9337	5.46808443035648	3.78531914578071e-10	X	-	-	2.04089503461829	0.999383707038243	novel
MSTRG.24482.4	MSTRG.24482	-0.967292538248462	3.92974198554154e-10	X	-	-	5.21935060972096	0.08324009500491	novel
MSTRG.23384.2	MSTRG.23384	6.41887483859091	4.33507615621471e-10	X	X	-	2.65851741185647	7.11220275257515e-07	novel
MSTRG.25623.1	MSTRG.25623	0.600726115757007	4.65577001069946e-10	X	X	-	7.3379127945284	0.951962245787192	novel
MSTRG.14957.2	MSTRG.14957	-4.84795972246664	4.89081291287475e-10	X	X	-	2.10577065280447	0.0314012000893021	novel
MSTRG.18458.1	MSTRG.18458	0.964011311822927	5.12707559889942e-10	X	-	-	5.24273768745824	0.302726344886462	novel
MSTRG.19339.4	MSTRG.19339	0.607188770541858	5.38993081443175e-10	-	X	-	6.66823266332087	9.42409052102986e-11	novel
MSTRG.30455.1	MSTRG.30455	-0.849439433662223	5.38993081443175e-10	-	-	X	5.46301874784146	0.0311672748246955	novel
MSTRG.23300.1	MSTRG.23300	-1.23162966609635	6.14244201849034e-10	-	X	-	5.20739815274283	0.998927820549838	novel
